id,titel,beschreibung,zielgruppe,kuche,ernahrung,schwierigkeitsgrad,portionen,vorbereitungszeit_min,kochzeit_min,gesamtzeit_min,kalorien_kcal,protein_g,kohlenhydrate_g,fett_g,allergene,tags,bewertung,autor,zutaten_json,schritte_json,sprache,erstellt_am,seo_slug
11,Mediterrane Bowl für Senioren (vegetarisch),"Schnelles Mediterran-Rezept, abgestimmt auf Senioren.",Senioren,Mediterran,vegetarisch,mittel,2,11,17,28,433,14,56,18,"gluten, senf","mealprep, mild, proteinreich, unter_30_min",3.9,Chefkoch Max,"[""1 x Currypaste"", ""2 x Joghurt"", ""1 x Kokosmilch"", ""3 x Rapsöl"", ""2 x Kichererbsen"", ""1 x Spinat""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,11-mediterrane-bowl-für-senioren-(vegetarisch)
12,Ofenrezept: Mediterrane Blechvariante (glutenfrei),"Schnelles Mediterran-Rezept, abgestimmt auf One-Pot.",One-Pot,Mediterran,glutenfrei,leicht,3,18,7,25,662,22,56,29,"senf, soja","eintopf, mild, ofen, salat, schnell, unter_30_min",4.5,Community,"[""2 x Kidneybohnen"", ""2 x Rapsöl"", ""2 x Reis"", ""3 x Sojasauce"", ""1 x Zwiebel"", ""3 x Tofu"", ""2 x Currypaste"", ""3 x Hähnchenbrust"", ""1 x Spinat""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,12-ofenrezept:-mediterrane-blechvariante-(glutenfrei)
13,Schnelle Indisch-Pfanne (vegan),"Schnelles Indisch-Rezept, abgestimmt auf Berufstätige.",Berufstätige,Indisch,vegan,leicht,3,12,20,32,398,18,54,17,gluten,"familienfreundlich, low_carb, mealprep, pfanne, saisonal, salat, suppe",4.4,Team Küche,"[""3 x Tofu"", ""1 x Zwiebel"", ""1 x Olivenöl"", ""2 x Spinat"", ""1 x Gurke"", ""2 x Rapsöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,13-schnelle-indisch-pfanne-(vegan)
14,Proteinreicher Indisch-Mix (glutenfrei),"Schnelles Indisch-Rezept, abgestimmt auf One-Pot.",One-Pot,Indisch,glutenfrei,leicht,2,18,22,40,568,35,63,15,,"high_protein, mild, nudeln, pikant, reis",4.2,Gastautor,"[""3 x Reis"", ""1 x Haferflocken"", ""1 x Quinoa"", ""2 x Tomatenmark"", ""2 x Zitrone"", ""2 x Karotte"", ""3 x Tomate"", ""2 x Currypaste""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,14-proteinreicher-indisch-mix-(glutenfrei)
15,Mediterrane Pasta in 15 Minuten (omnivor),"Schnelles Mediterran-Rezept, abgestimmt auf Budget.",Budget,Mediterran,omnivor,leicht,1,17,29,46,636,36,26,39,"eier, gluten","familienfreundlich, faserreich, high_protein, low_carb, nudeln, pikant, proteinreich",4.4,Team Küche,"[""1 x Haferflocken"", ""3 x Rapsöl"", ""2 x Kichererbsen"", ""1 x Sojasauce"", ""2 x Zucchini"", ""1 x Tomate"", ""1 x Vollkornpasta"", ""2 x Reis"", ""2 x Zwiebel"", ""2 x Mais""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,15-mediterrane-pasta-in-15-minuten-(omnivor)
16,Ofenrezept: Indische Blechvariante (keto),"Schnelles Indisch-Rezept, abgestimmt auf Sportler.",Sportler,Indisch,keto,leicht,1,17,13,30,794,32,21,48,"gluten, sesam","high_protein, low_carb, pikant, unter_15_min, unter_30_min",4.0,Chefkoch Max,"[""3 x Tofu"", ""3 x Aubergine"", ""1 x Lachsfilet"", ""1 x Koriander"", ""2 x Haferflocken"", ""1 x Paprika"", ""3 x Hähnchenbrust"", ""1 x Zucchini"", ""2 x Joghurt"", ""3 x Basilikum"", ""3 x Olivenöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,16-ofenrezept:-indische-blechvariante-(keto)
17,Schnelle Mediterran-Pfanne (keto),"Schnelles Mediterran-Rezept, abgestimmt auf Budget.",Budget,Mediterran,keto,mittel,1,12,8,20,753,39,17,61,,"familienfreundlich, low_carb, mild, pfanne, saisonal, salat, unter_30_min",4.0,Chefkoch Max,"[""3 x Basilikum"", ""2 x Hähnchenbrust"", ""3 x Currypaste"", ""3 x Petersilie"", ""2 x Kidneybohnen"", ""2 x Sojasauce"", ""2 x Zucchini"", ""3 x Joghurt"", ""3 x Tomate"", ""2 x Olivenöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,17-schnelle-mediterran-pfanne-(keto)
18,Herzhafter Italienisch-Eintopf (vegetarisch),"Schnelles Italienisch-Rezept, abgestimmt auf Anfänger.",Anfänger,Italienisch,vegetarisch,mittel,2,19,12,31,723,31,64,28,"gluten, laktose, nüsse","familienfreundlich, faserreich, mild, ofen, pfanne, schnell",4.3,Team Küche,"[""1 x Zwiebel"", ""2 x Mais"", ""1 x Gurke"", ""2 x Kokosmilch"", ""3 x Spinat"", ""1 x Aubergine"", ""2 x Reis"", ""3 x Olivenöl"", ""3 x Petersilie"", ""2 x Joghurt""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,18-herzhafter-italienisch-eintopf-(vegetarisch)
19,Indische Pasta in 15 Minuten (glutenfrei),"Schnelles Indisch-Rezept, abgestimmt auf Meal-Prep.",Meal-Prep,Indisch,glutenfrei,leicht,3,15,16,31,486,21,64,18,"fisch, laktose, sesam","familienfreundlich, low_carb, mealprep",4.4,Community,"[""1 x Zitrone"", ""1 x Hähnchenbrust"", ""3 x Sojasauce"", ""2 x Basilikum"", ""3 x Tofu"", ""1 x Rinderhack"", ""3 x Kidneybohnen"", ""2 x Gurke"", ""1 x Reis""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,19-indische-pasta-in-15-minuten-(glutenfrei)
20,Proteinreicher Mexikanisch-Mix (glutenfrei),"Schnelles Mexikanisch-Rezept, abgestimmt auf Studierende.",Studierende,Mexikanisch,glutenfrei,mittel,1,12,19,31,395,13,56,15,laktose,"eintopf, nudeln, saisonal",4.5,Chefkoch Max,"[""1 x Tofu"", ""3 x Gurke"", ""2 x Rinderhack"", ""2 x Paprika"", ""2 x Reis"", ""2 x Olivenöl"", ""3 x Spinat""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,20-proteinreicher-mexikanisch-mix-(glutenfrei)
21,One‑Pot Deutsch Comfort Food (vegan),"Schnelles Deutsch-Rezept, abgestimmt auf Budget.",Budget,Deutsch,vegan,leicht,3,8,29,37,521,18,48,30,,"familienfreundlich, high_protein, low_carb, mealprep, saisonal",4.8,Chefkoch Max,"[""3 x Petersilie"", ""1 x Pasta"", ""2 x Karotte"", ""1 x Tofu"", ""3 x Brühe"", ""1 x Tomatenmark"", ""3 x Zucchini"", ""1 x Basilikum"", ""2 x Haferflocken""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,21-one‑pot-deutsch-comfort-food-(vegan)
22,Cremiges Deutsch-Curry (omnivor),"Schnelles Deutsch-Rezept, abgestimmt auf Familien.",Familien,Deutsch,omnivor,mittel,1,14,24,38,576,21,43,29,senf,"familienfreundlich, mealprep, pfanne, saisonal, salat, suppe, unter_30_min",4.3,Chefkoch Lina,"[""2 x Zucchini"", ""1 x Knoblauchzehe"", ""3 x Reis"", ""2 x Pasta"", ""3 x Koriander"", ""2 x Olivenöl"", ""1 x Tomatenmark""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,22-cremiges-deutsch-curry-(omnivor)
23,Ofenrezept: Orientalische Blechvariante (vegan),"Schnelles Orientalisch-Rezept, abgestimmt auf Meal-Prep.",Meal-Prep,Orientalisch,vegan,leicht,3,15,26,41,412,22,41,15,weichtiere,"faserreich, low_carb, mealprep, saisonal, suppe, unter_30_min",4.6,Gastautor,"[""2 x Zwiebel"", ""3 x Brühe"", ""1 x Sojasauce"", ""2 x Knoblauchzehe"", ""2 x Kartoffeln"", ""3 x Kidneybohnen"", ""2 x Vollkornpasta"", ""1 x Olivenöl"", ""1 x Aubergine"", ""3 x Quinoa"", ""3 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,23-ofenrezept:-orientalische-blechvariante-(vegan)
24,Herzhafter Asiatisch-Eintopf (pescetarisch),"Schnelles Asiatisch-Rezept, abgestimmt auf Sportler.",Sportler,Asiatisch,pescetarisch,anspruchsvoll,2,5,22,27,546,35,51,17,"gluten, laktose","high_protein, mild, nudeln, pikant, reis, salat, schnell, unter_30_min",4.2,Chefkoch Max,"[""2 x Tofu"", ""1 x Olivenöl"", ""2 x Mais"", ""3 x Brühe"", ""2 x Vollkornpasta"", ""3 x Kartoffeln"", ""3 x Kokosmilch"", ""3 x Tomate"", ""2 x Karotte"", ""1 x Lachsfilet""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,24-herzhafter-asiatisch-eintopf-(pescetarisch)
25,Ofenrezept: Amerikanische Blechvariante (glutenfrei),"Schnelles Amerikanisch-Rezept, abgestimmt auf Meal-Prep.",Meal-Prep,Amerikanisch,glutenfrei,mittel,3,15,22,37,580,26,69,22,"erdnüsse, sesam","high_protein, mealprep, ofen, pfanne, pikant, salat, unter_30_min",3.8,Gastautor,"[""2 x Tofu"", ""3 x Basilikum"", ""1 x Karotte"", ""1 x Tomate"", ""2 x Kartoffeln"", ""2 x Kichererbsen"", ""2 x Paprika"", ""3 x Zucchini"", ""3 x Sojasauce""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,25-ofenrezept:-amerikanische-blechvariante-(glutenfrei)
26,Ofenrezept: Italienische Blechvariante (pescetarisch),"Schnelles Italienisch-Rezept, abgestimmt auf Budget.",Budget,Italienisch,pescetarisch,leicht,2,17,15,32,686,19,56,32,"gluten, sesam","familienfreundlich, low_carb, proteinreich, salat",4.1,Chefkoch Lina,"[""3 x Karotte"", ""3 x Quinoa"", ""1 x Paprika"", ""1 x Tofu"", ""1 x Kidneybohnen"", ""1 x Brühe"", ""3 x Spinat"", ""2 x Lachsfilet""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,26-ofenrezept:-italienische-blechvariante-(pescetarisch)
